,genre,simplified genre
125,http://fr.dbpedia.org/resource/Science-fiction_post-apocalyptique,science-fiction
126,http://fr.dbpedia.org/resource/Road_movie,road-movie
127,http://fr.dbpedia.org/resource/Buddy_movie,buddy movie
128,http://fr.dbpedia.org/resource/Fantasy,fantasie
129,http://fr.dbpedia.org/resource/Aventure,aventure
130,http://fr.dbpedia.org/resource/Frisson,frisson
131,Comédie familiale,comédie familiale
132,Film d'animation fantastique,animation
133,Film d'animation fantastique,fantastique
134,fiction,fiction
135,Drame social,drame
136,Drame social,social
137,http://fr.dbpedia.org/resource/Court_métrage,court métrage
138,danse contemporaine filmée,danse contemporaine filmée
139,http://fr.dbpedia.org/resource/Rap,rap
140,drame,drame
141,http://fr.dbpedia.org/resource/Thriller_Psychologique,thriller psychologique
142,Biographie,biographie
143,drame familial,drame familial
144,Thriller,thriller
145,"Fantastique, expérimental",fantastique
146,"Fantastique, expérimental",expérimental
147,http://fr.dbpedia.org/resource/Funk,funk
148,http://fr.dbpedia.org/resource/Jazz,jazz
149,http://fr.dbpedia.org/resource/Musique_soul,musique soul
150,http://fr.dbpedia.org/resource/Rhythm_and_blues,rhythm and blues
151,http://fr.dbpedia.org/resource/Pop_(musique),pop
152,http://fr.dbpedia.org/resource/Film_dramatique,dramatique
153,http://fr.dbpedia.org/resource/Film_post-apocalyptique,post-apocalyptique
154,http://fr.dbpedia.org/resource/Fiction,fiction
155,http://fr.dbpedia.org/resource/Thriller_érotique,thriller érotique
156,Comédie poétique,comédie poétique
157,http://fr.dbpedia.org/resource/Drame_psychologique,drame psychologique
158,"Aventure, Drame",aventure
159,"Aventure, Drame",drame
160,http://fr.dbpedia.org/resource/Musique_électronique,musique electronique
161,Drame politique,drame politique
162,film biblique historique,biblique
163,film biblique historique,historique
164,http://fr.dbpedia.org/resource/Chanson_de_geste,chanson de geste
165,"Comédie, Musique",comédie
166,"Comédie, Musique",musique
167,Actualité reconstituée,actualité reconstituée
168,Biographie romancée,biographie romancée
169,comédie dramatique,comédie dramatique
170,Animalier,animalier
171,http://fr.dbpedia.org/resource/Péplum,péplum
172,"Film policier, Crime, Mystère",policier
173,"Film policier, Crime, Mystère",crime
174,"Film policier, Crime, Mystère",mystère
175,http://fr.dbpedia.org/resource/Policier,policier
176,http://fr.dbpedia.org/resource/Musique_latine,musique latine
177,http://fr.dbpedia.org/resource/Techno,techno
178,http://fr.dbpedia.org/resource/Crunkcore,crunkcore
179,Drame antique,drame antique
180,drame romantique,drame romantique
181,http://fr.dbpedia.org/resource/Histoire,histoire
182,Thriller érotique,thriller érotique
183,Film Pornographique / Comédie,pornographique
184,Film Pornographique / Comédie,comédie
185,"Comédie noire, drame",comédie noire
186,"Comédie noire, drame",drame
187,http://fr.dbpedia.org/resource/Courts_métrages,court métrage
188,http://fr.dbpedia.org/resource/Dessins_animés,dessin animé
189,http://fr.dbpedia.org/resource/Terence_Blanchard,terence blanchard
190,http://fr.dbpedia.org/resource/Comédie_musicale,comédie
191,http://fr.dbpedia.org/resource/Comédie_musicale,musical
192,"Drame, Romance",drame
193,"Drame, Romance",romance
194,"fantastique, horreur",fantastique
195,"fantastique, horreur",horreur
196,science fiction,science-fiction
197,http://fr.dbpedia.org/resource/Film_de_gangster,gangster
198,"comédie, thriller, horreur",comédie
199,"comédie, thriller, horreur",horreur
200,"comédie, thriller, horreur",thriller
201,Épopée,épopée
202,science-fiction,science-fiction
203,http://fr.dbpedia.org/resource/Film_d'espionnage,espionnage
204,Film d'aventure préhistorique,aventure préhistorique
205,Aventures préhistoriques,aventure préhistorique
206,http://fr.dbpedia.org/resource/Dessin_animé,dessin animé
207,http://fr.dbpedia.org/resource/Film_de_super-héros,super-héros
208,http://fr.dbpedia.org/resource/Biographie,biographie
209,http://fr.dbpedia.org/resource/Pantomime,pantomime
210,Drame de guerre,drame de guerre
211,"Conte, Comédie",conte
212,"Conte, Comédie",comédie
213,Féerie,féérie
214,"Comédie, horreur, thriller",comédie
215,"Comédie, horreur, thriller",horreur
216,"Comédie, horreur, thriller",thriller
217,"Action,",action
218,"Policier, thriller",policier
219,"Policier, thriller",thriller
220,http://fr.dbpedia.org/resource/Film_pornographique,pornographique
221,Drame biographique,drame biographique
222,humoristique,humoristique
223,http://fr.dbpedia.org/resource/Musique,musique
224,drame social,drame
225,drame social,social
226,http://fr.dbpedia.org/resource/Pop-rock,pop-rock
227,http://fr.dbpedia.org/resource/Phonoscène,phonoscène
228,http://fr.dbpedia.org/resource/Fantasy_au_cinéma,fantasie
229,"action, Thriller",action
230,"action, Thriller",thriller
231,Film historique,historique
232,Aventure maritime,aventure maritime
233,Drame sportif,drame sportif
234,http://fr.dbpedia.org/resource/Thriller_(film),thriller (film)
235,"Action, comédie",action
236,"Action, comédie",comédie
237,Aventures,aventure
238,Film dramatique romantique,dramatique
239,Film dramatique romantique,romantique
240,Fantasy,fantasie
241,Film d'action,action
242,http://fr.dbpedia.org/resource/Film_catastrophe,catastrophe
243,poétique,poétique
244,Animation,animation
245,"Aventure, Fantasy",aventure
246,"Aventure, Fantasy",fantaisie
247,http://fr.dbpedia.org/resource/Liste_de_films_historiques,liste de films historiques
248,Film d'aventure orientale,aventure orientale
249,"horreur, science-fiction",horreur
250,"horreur, science-fiction",science-fiction
251,Comédie noire,comédie noire
252,Science-fiction,science-fiction
253,http://fr.dbpedia.org/resource/Nu_metal,nu metal
254,http://fr.dbpedia.org/resource/Rock_alternatif,rock alternatif
255,http://fr.dbpedia.org/resource/Science_fiction,science-fiction
256,Espionnage,espionnage
257,"horreur, thriller, fantastique",horreur
258,"horreur, thriller, fantastique",thriller
259,"horreur, thriller, fantastique",fantastique
260,http://fr.dbpedia.org/resource/Film_politique,politique
261,Épouvante,épouvante
262,Fiction,fiction
263,Aventure et Action,aventure
264,Aventure et Action,action
265,adolescent,adolescent
266,?,none
267,http://fr.dbpedia.org/resource/Environnement,environnement
268,Film criminel,crime
269,Horreur,horreur
270,"animation, drame",animation
271,"animation, drame",drame
272,http://fr.dbpedia.org/resource/Jeunesse,jeunesse
273,"""Comédie""",comédie
274,http://fr.dbpedia.org/resource/Jidaigeki,jidai-geki
275,http://fr.dbpedia.org/resource/Psychologique,psychologique
276,"aventure, humour",aventure
277,"aventure, humour",humour
278,http://fr.dbpedia.org/resource/Drame_Psychologique_(cinéma),drame psychologique
279,Comédie satirique,comédie satirique
280,http://fr.dbpedia.org/resource/Mouvement_gothique,mouvement gothique
281,Historique,historique
282,http://fr.dbpedia.org/resource/Rock_'n'_roll,rock'n'roll
283,Space opera,space opera
284,Comédie romantique,comédie romantique
285,http://fr.dbpedia.org/resource/Suspense,suspense
286,1.85,none
287,http://fr.dbpedia.org/resource/Dance,dance
288,http://fr.dbpedia.org/resource/Garage_(musique),garage
289,http://fr.dbpedia.org/resource/J-Rap,j-rap
290,http://fr.dbpedia.org/resource/Digital_hardcore,digital hardcore
291,http://fr.dbpedia.org/resource/Reggaeton,reggaetón
292,http://fr.dbpedia.org/resource/Symbolisme_(art),symbolisme (art)
293,Téléfilm dramatique,téléfilm
294,Téléfilm dramatique,dramatique
295,http://fr.dbpedia.org/resource/Comédie_sentimentale,comédie sentimentale
296,http://fr.dbpedia.org/resource/Musique_classique,musique classique
297,http://fr.dbpedia.org/resource/Mafia,mafia
298,http://fr.dbpedia.org/resource/Bande_originale_de_film,musique de film
299,http://fr.dbpedia.org/resource/Guerre,guerre
300,http://fr.dbpedia.org/resource/Religion,religion
301,http://fr.dbpedia.org/resource/Romance,romance
302,http://fr.dbpedia.org/resource/Horreur,horreur
303,policier,policier
304,http://fr.dbpedia.org/resource/Film_d’horreur,horreur
305,chronique familiale,chronique familiale
306,http://fr.dbpedia.org/resource/Aventure_(cinéma),aventure
307,Guerre,guerre
308,Drame psychologique,drame psychologique
309,horreur,horreur
310,http://fr.dbpedia.org/resource/Drama_(Japon),drama (japon)
311,http://fr.dbpedia.org/resource/Lesbianisme,lesbianisme
312,http://fr.dbpedia.org/resource/Western_spaghetti,western spaghetti
313,Film documentaire,documentaire
314,Comédie policière d'action,comédie policière d'action
315,"Animation, Comédie",animation
316,"Animation, Comédie",comédie
317,http://fr.dbpedia.org/resource/Comédie_(cinéma),comédie
318,Aventure biographique,aventure biographique
319,http://fr.dbpedia.org/resource/Arts_martiaux,art martiaux
320,http://fr.dbpedia.org/resource/Drame_(cinéma)Drame,drame
321,"Film musical, film de guerre",musical
322,"Film musical, film de guerre",film de guerre
323,http://fr.dbpedia.org/resource/Film_Policier,policier
324,http://fr.dbpedia.org/resource/Blaxploitation,blaxploitation
325,Musical / Comédie dramatique,comédie dramatique
