,genre,simplified genre,simplified genre from URL
2824,http://fr.dbpedia.org/resource/Polyphonie,polyphonie,True
2825,"Pop, house, dance",pop,False
2826,"Pop, house, dance",house,False
2827,"Pop, house, dance",dance,False
2828,"Jazz, rhythm and blues et blues",jazz,False
2829,"Jazz, rhythm and blues et blues",rhythm and blues,False
2830,"Jazz, rhythm and blues et blues",blues,False
2831,http://fr.dbpedia.org/resource/Électro,electro,True
2832,http://fr.dbpedia.org/resource/Musette_(bal),musette (bal),True
2833,http://fr.dbpedia.org/resource/Klezmer,klezmer,True
2834,http://fr.dbpedia.org/resource/Musique_balkanique,musique balkanique,True
2835,P136,p136,False
2836,http://fr.dbpedia.org/resource/Électropunk,electropunk,True
2837,http://fr.dbpedia.org/resource/Digital_hardcore,digital hardcore,True
2838,http://fr.dbpedia.org/resource/Techno_industrielle,techno industrielle,True
2839,Musique vocale,musique vocale,False
2840,http://fr.dbpedia.org/resource/Concerto,concerto,True
2841,http://fr.dbpedia.org/resource/Néoclassique_(danse),neoclassique (danse),True
2842,country,country,False
2843,http://fr.dbpedia.org/resource/Musique_Pop,musique pop,True
2844,http://fr.dbpedia.org/resource/Chant_grégorien,chant gregorien,True
2845,http://fr.dbpedia.org/resource/Polyphonies_de_la_Renaissance,polyphonies de la renaissance,True
2846,Chorals de Bach,chorals de bach,False
2847,"funk, jazz, soul et hip-hop.",funk,False
2848,"funk, jazz, soul et hip-hop.",jazz,False
2849,"funk, jazz, soul et hip-hop.",soul,False
2850,"funk, jazz, soul et hip-hop.",hip-hop.,False
2851,Electro world,electro world,False
2852,http://fr.dbpedia.org/resource/Anime,anime,True
2853,http://fr.dbpedia.org/resource/Simulation_de_drague,simulation de drague,True
2854,http://fr.dbpedia.org/resource/Metal_mélodique,metal melodique,True
2855,http://fr.dbpedia.org/resource/Variété_Française_Indépendante_(musique),variete française independante (musique),True
2856,http://fr.dbpedia.org/resource/Post_rock,post rock,True
2857,http://fr.dbpedia.org/resource/Hyphy,hyphy,True
2858,http://fr.dbpedia.org/resource/Folktronica,folktronica,True
2859,http://fr.dbpedia.org/resource/Electro-hip_hop,electro-hip hop,True
2860,Progressive Metal,progressive metal,False
2861,http://fr.dbpedia.org/resource/Musiques_de_film,musiques de film,True
2862,"pop, techno, dance",pop,False
2863,"pop, techno, dance",techno,False
2864,"pop, techno, dance",dance,False
2865,"Rock, noise, jazz",rock,False
2866,"Rock, noise, jazz",noise,False
2867,"Rock, noise, jazz",jazz,False
2868,"Hip-hop alternatif, rap underground, horrorcore",hip-hop alternatif,False
2869,"Hip-hop alternatif, rap underground, horrorcore",rap underground,False
2870,"Hip-hop alternatif, rap underground, horrorcore",horrorcore,False
2871,http://fr.dbpedia.org/resource/Musique_de_scène,musique de scene,True
2872,cantates,cantates,False
2873,chansons,chansons,False
2874,oratorios,oratorios,False
